,ppreg4,ppmarit5,ppeducat,D1G,SL1,ppemploy,ED5,SL7,B10,ppagecat,ppgender,ppethm
7291,Midwest,Never married,High school graduate,No,No,Working part-time,Financial costs are much larger,No,4,25-34,Female,White
7292,South,Now married,High school graduate,No,No,Not working,No response,No,9,25-34,Female,Hispanic
7293,Midwest,Separated,No high school diploma,No,No,Working full-time,No response,No,5,35-44,Female,White
7294,Midwest,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,5,55-64,Female,White
7295,South,Now married,College's degree,No,No,Not working,No response,No,4,65-74,Female,Hispanic
7296,Midwest,Now married,College's degree,No,No,Not working,Financial benefits are somewhat larger,No,7,65-74,Female,White
7297,West,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,7,35-44,Female,White
7298,West,Widowed,College's degree,No,No,Not working,Financial benefits are much larger,No,8,75+,Female,White
7299,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,10 - Completely satisfied,55-64,Female,Other
7300,South,Now married,College's degree,No,No,Not working,Financial benefits are much larger,No,3,65-74,Male,White
7301,West,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,8,75+,Female,White
7302,Midwest,Now married,College's degree,No,No,Working part-time,Financial costs are much larger,Yes,7,65-74,Female,White
7303,West,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,8,25-34,Female,White
7304,Midwest,Never married,College's degree,No,No,Not working,No response,No,7,18-24,Male,White
7305,West,Now married,College's degree,No,No,Not working,No response,No,9,65-74,Male,White
7306,West,Now married,No high school diploma,No,No,Not working,No response,No,8,75+,Male,Hispanic
7307,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,6,55-64,Female,Other
7308,South,Never married,No high school diploma,No,No,Not working,No response,No,2,35-44,Male,Other
7309,South,Never married,Bachelor's degree or higher,No,No,Working part-time,No response,No,8,55-64,Female,Hispanic
7310,South,Now married,Bachelor's degree or higher,"Yes, as a full-time student",Yes,Working full-time,No response,No response,6,25-34,Male,Hispanic
7311,South,Now married,High school graduate,No,No,Not working,No response,No,0 - Not at all satisfied,45-54,Female,Hispanic
7312,Midwest,Never married,Bachelor's degree or higher,No,No,Working part-time,No response,No,5,18-24,Female,White
7313,Midwest,Now married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,6,25-34,Female,White
7314,Midwest,Divorced,High school graduate,No,No,Not working,No response,No,9,75+,Male,White
7315,Midwest,Divorced,High school graduate,No,No,Working full-time,Financial benefits are much larger,No,9,35-44,Female,White
7316,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,7,75+,Male,White
7317,Midwest,Divorced,College's degree,No,No,Not working,About the same,No,5,75+,Male,White
7318,Midwest,Now married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,8,25-34,Male,Black
7319,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,9,45-54,Female,Hispanic
7320,South,Now married,High school graduate,No,No,Not working,No response,No,10 - Completely satisfied,65-74,Male,Black
7321,South,Widowed,College's degree,No,No,Not working,About the same,No,3,65-74,Female,White
7322,Midwest,Now married,High school graduate,No,No,Working part-time,Financial costs are much larger,No,8,65-74,Female,White
7323,South,Never married,College's degree,"Yes, as a part-time student",Yes,Working part-time,Financial costs are somewhat larger,No response,5,25-34,Female,Other
7324,South,Never married,High school graduate,No,No,Working full-time,No response,No,7,35-44,Female,Hispanic
7325,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,7,55-64,Female,White
7326,South,Now married,College's degree,No,No,Working full-time,About the same,No,6,45-54,Male,White
7327,South,Never married,College's degree,No,No,Working full-time,About the same,No,5,45-54,Female,Black
7328,Midwest,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,5,35-44,Male,White
7329,South,Now married,College's degree,No,No,Working full-time,Financial costs are much larger,No,8,45-54,Male,Black
7330,Midwest,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,9,75+,Female,White
7331,West,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,5,25-34,Male,White
7332,South,Widowed,High school graduate,No,No,Working part-time,No response,No,7,65-74,Female,White
7333,South,Divorced,High school graduate,No,No,Working full-time,No response,No,8,65-74,Female,Black
7334,Midwest,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,5,55-64,Male,White
7335,Midwest,Now married,Bachelor's degree or higher,"Yes, as a full-time student",No,Working full-time,No response,Yes,9,35-44,Male,White
7336,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,3,65-74,Male,White
7337,South,Never married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,8,25-34,Female,White
7338,Midwest,Never married,High school graduate,No,No,Not working,About the same,No,10 - Completely satisfied,45-54,Female,Hispanic
7339,South,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,3,25-34,Female,White
7340,Midwest,Divorced,College's degree,No,No,Working full-time,Financial benefits are somewhat larger,No,3,45-54,Female,White
7341,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,7,25-34,Male,White
7342,South,Now married,Bachelor's degree or higher,No,No,Working part-time,No response,Yes,8,55-64,Female,White
7343,Midwest,Now married,College's degree,No,No,Not working,No response,No,8,65-74,Female,White
7344,West,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,7,35-44,Male,White
7345,South,Never married,No high school diploma,No,No,Not working,No response,No,4,55-64,Female,White
7346,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,4,75+,Female,White
7347,South,Now married,High school graduate,No,No,Working full-time,No response,No,3,55-64,Female,White
7348,South,Divorced,High school graduate,No,No,Not working,No response,No,2,55-64,Male,White
7349,Midwest,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,7,75+,Male,White
7350,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,9,65-74,Male,Hispanic
7351,Midwest,Now married,College's degree,No,No,Not working,No response,Yes,9,55-64,Female,Black
7352,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,4,55-64,Male,White
7353,South,Now married,High school graduate,No,No,Working full-time,Financial benefits are much larger,No,10 - Completely satisfied,55-64,Male,Other
7354,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,8,65-74,Male,White
7355,South,Never married,Bachelor's degree or higher,No,Yes,Working part-time,No response,No response,7,25-34,Female,White
7356,South,Now married,High school graduate,No,No,Working full-time,No response,No,8,45-54,Male,White
7357,South,Now married,Bachelor's degree or higher,"Yes, as a part-time student",No,Working full-time,No response,No,8,25-34,Male,White
7358,South,Now married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,8,35-44,Female,Black
7359,Midwest,Divorced,High school graduate,No,No,Not working,Financial costs are much larger,No,8,65-74,Female,White
7360,Midwest,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,10 - Completely satisfied,55-64,Male,White
7361,West,Now married,College's degree,"Yes, as a full-time student",No,Working full-time,No response,No,7,35-44,Male,Hispanic
7362,Midwest,Divorced,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,8,45-54,Female,White
7363,Midwest,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,5,55-64,Female,White
7364,South,Divorced,College's degree,No,No,Not working,About the same,No,5,55-64,Female,White
7365,South,Now married,High school graduate,No,No,Working full-time,No response,No,0 - Not at all satisfied,35-44,Female,White
7366,Midwest,Divorced,College's degree,No,No,Not working,No response,No,5,25-34,Female,White
7367,South,Divorced,College's degree,No,Yes,Not working,No response,No response,4,65-74,Male,Black
7368,South,Widowed,High school graduate,No,No,Not working,Financial costs are much larger,No,6,75+,Female,White
7369,Northeast,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,8,25-34,Female,White
7370,South,Divorced,No high school diploma,No,No,Not working,No response,No,5,55-64,Female,Black
7371,South,Now married,College's degree,No,No,Working part-time,Financial benefits are somewhat larger,No,8,55-64,Female,White
7372,Midwest,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,8,35-44,Female,White
7373,South,Now married,College's degree,No,No,Not working,Financial costs are much larger,No,7,45-54,Male,Other
7374,Midwest,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,5,55-64,Female,White
7375,South,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,7,25-34,Female,White
7376,South,Now married,No high school diploma,No,No,Not working,No response,No,3,55-64,Male,White
7377,Northeast,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,7,35-44,Male,White
7378,Northeast,Now married,College's degree,No,No,Working full-time,About the same,No,7,35-44,Male,White
7379,Midwest,Divorced,College's degree,No,No,Not working,About the same,No,5,65-74,Female,White
7380,West,Never married,Bachelor's degree or higher,"Yes, as a part-time student",No,Working full-time,No response,No,8,25-34,Male,White
7381,South,Never married,Bachelor's degree or higher,No,Yes,Working part-time,No response,No response,8,25-34,Female,Black
7382,West,Never married,Bachelor's degree or higher,No,No,Not working,No response,No,8,65-74,Female,White
7383,Midwest,Never married,College's degree,No,No,Not working,No response,No,5,55-64,Female,Black
7384,Northeast,Never married,College's degree,No,Yes,Not working,No response,No response,9,25-34,Male,White
7385,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,7,45-54,Male,Hispanic
7386,West,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,8,55-64,Female,Other
7387,Northeast,Never married,High school graduate,No,No,Working full-time,No response,No,10 - Completely satisfied,45-54,Female,Hispanic
7388,Midwest,Never married,College's degree,No,Yes,Working part-time,About the same,No response,2,25-34,Female,Black
7389,South,Now married,Bachelor's degree or higher,No,No,Working part-time,No response,Yes,8,65-74,Male,White
7390,West,Divorced,High school graduate,No,No,Not working,No response,No,7,65-74,Male,Hispanic
7391,Midwest,Now married,High school graduate,No,No,Working full-time,No response,No,7,35-44,Female,White
7392,South,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,6,35-44,Male,Other
7393,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,8,35-44,Female,White
7394,South,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,No,3,25-34,Male,White
7395,Midwest,Now married,Bachelor's degree or higher,No,No,Working part-time,No response,No,8,55-64,Male,White
7396,Midwest,Now married,High school graduate,No,No,Not working,No response,No,8,65-74,Male,White
7397,West,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,No,10 - Completely satisfied,25-34,Female,White
7398,Northeast,Never married,College's degree,No,Yes,Working full-time,Financial costs are much larger,No response,5,25-34,Male,White
7399,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,9,55-64,Male,White
7400,South,Divorced,College's degree,No,No,Not working,Financial benefits are much larger,No,5,55-64,Female,Black
7401,West,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,6,65-74,Female,White
7402,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,8,35-44,Female,White
7403,West,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,9,35-44,Male,White
7404,South,Separated,College's degree,No,No,Not working,Financial benefits are much larger,No,5,55-64,Male,White
7405,South,Now married,College's degree,No,No,Working full-time,Financial benefits are somewhat larger,No,10 - Completely satisfied,65-74,Female,Other
7406,South,Never married,No high school diploma,No,No,Working full-time,No response,No,8,25-34,Male,Hispanic
7407,West,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,No,7,25-34,Male,Other
7408,South,Now married,High school graduate,No,No,Not working,No response,No,8,55-64,Male,White
7409,West,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,No,7,25-34,Male,Other
7410,South,Now married,Bachelor's degree or higher,No,No,Working part-time,No response,No,8,25-34,Female,White
7411,West,Widowed,Bachelor's degree or higher,No,No,Not working,No response,No,7,75+,Female,White
7412,West,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,1,65-74,Male,White
7413,West,Never married,College's degree,"Yes, as a full-time student",No,Not working,Financial costs are somewhat larger,No,5,18-24,Male,Hispanic
7414,South,Divorced,High school graduate,No,No,Working full-time,No response,No,7,45-54,Male,White
7415,South,Never married,No high school diploma,No,No,Working part-time,No response,No,5,45-54,Female,Black
7416,South,Now married,High school graduate,No,No,Working full-time,No response,No,10 - Completely satisfied,45-54,Male,White
7417,Midwest,Never married,College's degree,No,Yes,Working part-time,No response,No response,10 - Completely satisfied,18-24,Female,White
7418,Midwest,Never married,College's degree,No,No,Working full-time,About the same,No,4,55-64,Male,White
7419,Midwest,Now married,College's degree,No,No,Not working,Financial costs are somewhat larger,No,6,55-64,Male,White
7420,Midwest,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,7,35-44,Female,White
7421,South,Now married,College's degree,No,No,Not working,About the same,Yes,7,35-44,Female,Hispanic
7422,South,Now married,College's degree,No,No,Not working,Financial costs are somewhat larger,No,5,65-74,Female,White
7423,South,Divorced,High school graduate,No,No,Working full-time,Financial costs are much larger,No,5,55-64,Male,Black
7424,Midwest,Now married,High school graduate,No,No,Working part-time,About the same,No,8,55-64,Male,Black
7425,Midwest,Now married,College's degree,No,No,Not working,No response,No,3,55-64,Male,White
7426,West,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,7,25-34,Female,White
7427,West,Now married,Bachelor's degree or higher,"Yes, as a full-time student",Yes,Working full-time,No response,No response,5,35-44,Male,White
7428,West,Never married,High school graduate,No,No,Not working,No response,No,5,55-64,Male,White
7429,Northeast,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,No,7,35-44,Male,Hispanic
7430,South,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,7,55-64,Female,White
7431,Midwest,Now married,College's degree,No,Yes,Not working,Financial costs are much larger,No response,5,25-34,Female,Other
7432,Midwest,Now married,High school graduate,No,No,Working full-time,No response,No,9,55-64,Female,White
7433,Midwest,Never married,High school graduate,No,No,Not working,No response,No,7,18-24,Female,White
7434,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,5,55-64,Female,White
7435,West,Widowed,Bachelor's degree or higher,"Yes, as a part-time student",No,Working part-time,No response,No,5,55-64,Female,Hispanic
7436,Midwest,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,7,65-74,Female,White
7437,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,7,45-54,Male,White
7438,South,Now married,College's degree,No,Yes,Not working,No response,No response,6,65-74,Male,Hispanic
7439,South,Separated,No high school diploma,No,No,Not working,No response,No,10 - Completely satisfied,65-74,Female,Black
7440,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,9,55-64,Male,Hispanic
7441,South,Never married,Bachelor's degree or higher,"Yes, as a full-time student",No,Working part-time,No response,No,8,25-34,Female,White
7442,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,9,55-64,Male,Black
7443,West,Now married,College's degree,No,No,Working full-time,No response,Yes,8,55-64,Female,Other
7444,South,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,No,9,45-54,Female,White
7445,South,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,No,9,25-34,Male,White
7446,West,Never married,Bachelor's degree or higher,No,No,Not working,No response,Yes,7,45-54,Female,White
7447,West,Divorced,College's degree,No,No,Working part-time,Financial costs are much larger,Yes,4,55-64,Male,White
7448,West,Widowed,High school graduate,No,No,Not working,No response,No,3,65-74,Female,Hispanic
7449,West,Never married,High school graduate,No,No,Not working,No response,No,6,25-34,Male,Hispanic
7450,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,8,25-34,Female,White
7451,West,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,8,45-54,Female,White
7452,South,Now married,High school graduate,No,Yes,Not working,About the same,No response,5,45-54,Female,Black
7453,South,Now married,Bachelor's degree or higher,No,No,Working part-time,No response,Yes,8,65-74,Male,White
7454,South,Never married,High school graduate,No,Yes,Working full-time,No response,No response,6,35-44,Male,White
7455,South,Now married,College's degree,No,No,Not working,Financial benefits are somewhat larger,No,8,65-74,Female,White
7456,Midwest,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,5,65-74,Female,White
7457,Midwest,Now married,College's degree,No,No,Not working,Financial benefits are much larger,No,5,65-74,Male,White
7458,South,Divorced,College's degree,No,No,Working full-time,About the same,Yes,4,65-74,Female,White
7459,West,Never married,College's degree,No,No,Working full-time,No response,No,7,25-34,Female,Hispanic
7460,Midwest,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,6,35-44,Male,White
7461,South,Separated,No high school diploma,No,No,Not working,No response,No,6,65-74,Female,Black
7462,South,Widowed,College's degree,No,No,Not working,Financial costs are much larger,No,7,65-74,Female,White
7463,Northeast,Widowed,Bachelor's degree or higher,No,No,Not working,No response,No,9,65-74,Female,White
7464,South,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,No,7,25-34,Male,White
7465,Northeast,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,No,8,55-64,Female,White
7466,Midwest,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,8,65-74,Female,White
7467,Midwest,Never married,High school graduate,No,No,Working part-time,No response,No,4,35-44,Female,White
7468,West,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,No,1,35-44,Male,White
7469,Northeast,Never married,High school graduate,"Yes, as a full-time student",No,Working part-time,No response,No,7,18-24,Female,Other
7470,Midwest,Now married,Bachelor's degree or higher,No,No,Working part-time,No response,No,6,65-74,Male,White
7471,Midwest,Now married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,9,35-44,Male,White
7472,South,Now married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,8,55-64,Male,Hispanic
7473,South,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,6,55-64,Female,White
7474,South,Now married,Bachelor's degree or higher,No,No,Working part-time,No response,Yes,5,45-54,Female,White
7475,South,Never married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,6,25-34,Male,Hispanic
7476,Midwest,Never married,High school graduate,No,No,Working full-time,No response,No,7,55-64,Female,White
7477,South,Never married,No high school diploma,"Yes, as a full-time student",No,Not working,No response,No,8,18-24,Male,White
7478,South,Never married,High school graduate,No,No,Not working,No response,No,2,25-34,Female,Black
7479,West,Now married,Bachelor's degree or higher,No,No,Working part-time,No response,No,7,65-74,Female,White
7480,South,Widowed,Bachelor's degree or higher,No,No,Not working,No response,Yes,5,55-64,Female,Hispanic
7481,South,Never married,College's degree,No,Yes,Not working,No response,No response,6,18-24,Male,Black
7482,South,Now married,High school graduate,No,No,Not working,No response,No,7,55-64,Female,White
7483,Midwest,Never married,High school graduate,No,No,Not working,Financial costs are much larger,No,10 - Completely satisfied,65-74,Male,White
7484,South,Now married,College's degree,No,No,Working full-time,About the same,Yes,4,55-64,Male,White
7485,West,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,8,75+,Female,White
7486,West,Now married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,7,25-34,Female,White
7487,Midwest,Never married,High school graduate,No,No,Not working,No response,No,7,25-34,Female,Hispanic
7488,South,Widowed,No high school diploma,No,No,Working full-time,No response,No,0 - Not at all satisfied,45-54,Female,Hispanic
7489,Northeast,Now married,High school graduate,No,No,Working full-time,About the same,No,10 - Completely satisfied,55-64,Female,White
7490,Midwest,Never married,College's degree,No,No,Working full-time,Financial costs are somewhat larger,No,1,25-34,Male,White
7491,Northeast,Never married,College's degree,No,No,Working part-time,No response,No,6,65-74,Female,Other
7492,South,Now married,High school graduate,No,No,Working full-time,No response,No,9,35-44,Male,Hispanic
7493,Northeast,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,6,35-44,Male,Other
7494,South,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,5,25-34,Male,Black
7495,Northeast,Now married,College's degree,No,No,Working full-time,No response,No,6,55-64,Male,White
7496,Northeast,Now married,College's degree,No,No,Not working,Financial benefits are somewhat larger,Yes,3,75+,Male,White
7497,South,Never married,College's degree,No,No,Working part-time,No response,No,7,65-74,Male,White
7498,South,Now married,High school graduate,No,No,Working full-time,No response,No,7,35-44,Male,Hispanic
7499,West,Never married,College's degree,"Yes, as a part-time student",No,Not working,Financial benefits are somewhat larger,No,4,18-24,Female,White
7500,South,Now married,High school graduate,"Yes, as a full-time student",No,Working full-time,About the same,No,3,25-34,Male,White
7501,West,Now married,College's degree,No,No,Not working,Financial costs are much larger,No,6,65-74,Male,Hispanic
7502,West,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,7,65-74,Male,Other
7503,South,Never married,Bachelor's degree or higher,"Yes, as a full-time student",Yes,Working full-time,No response,No response,8,18-24,Female,Black
7504,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,8,55-64,Female,White
7505,West,Never married,Bachelor's degree or higher,No,No,Not working,No response,Yes,7,35-44,Male,White
7506,Midwest,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,7,35-44,Male,White
7507,South,Now married,High school graduate,No,No,Not working,No response,No,7,45-54,Male,White
7508,South,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,No,5,35-44,Male,White
7509,Northeast,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,8,45-54,Female,Other
7510,West,Now married,High school graduate,No,No,Working full-time,No response,No,9,35-44,Male,White
7511,West,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,7,35-44,Male,White
7512,Northeast,Divorced,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,7,45-54,Male,White
7513,Midwest,Now married,High school graduate,No,No,Not working,No response,No,5,75+,Male,White
7514,Midwest,Now married,High school graduate,No,No,Working part-time,No response,No,8,55-64,Female,White
7515,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,6,35-44,Male,White
7516,Midwest,Never married,College's degree,No,No,Working full-time,Financial costs are much larger,No,6,25-34,Male,Hispanic
7517,South,Never married,No high school diploma,No,No,Working full-time,No response,No,5,18-24,Male,White
7518,Midwest,Never married,High school graduate,"Yes, as a part-time student",No,Not working,Financial costs are somewhat larger,No,6,25-34,Male,White
7519,Northeast,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,No,7,25-34,Male,White
7520,South,Now married,High school graduate,No,No,Not working,No response,No,9,55-64,Female,White
7521,South,Now married,No high school diploma,No,No,Not working,No response,No,9,55-64,Male,Hispanic
7522,West,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,5,55-64,Male,Other
7523,Midwest,Divorced,High school graduate,No,No,Not working,Financial costs are much larger,Yes,0 - Not at all satisfied,55-64,Female,White
7524,Midwest,Never married,No high school diploma,No,No,Working full-time,No response,No,10 - Completely satisfied,25-34,Male,Black
7525,Northeast,Never married,No high school diploma,No,No,Not working,No response,No,7,65-74,Male,White
7526,South,Widowed,College's degree,No,No,Working part-time,No response,No,6,75+,Female,White
7527,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,8,25-34,Male,White
7528,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,7,65-74,Female,White
7529,West,Never married,High school graduate,No,No,Working full-time,No response,No,8,35-44,Female,Black
7530,South,Divorced,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,8,45-54,Female,Hispanic
7531,South,Never married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,5,55-64,Female,White
7532,Midwest,Now married,College's degree,No,No,Working full-time,No response,Yes,9,25-34,Male,White
7533,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,5,35-44,Female,White
7534,South,Now married,High school graduate,No,No,Not working,No response,No,5,65-74,Male,White
7535,West,Never married,College's degree,No,No,Working part-time,About the same,No,0 - Not at all satisfied,25-34,Female,Other
7536,Midwest,Now married,College's degree,No,No,Working part-time,About the same,No,8,45-54,Female,White
7537,South,Never married,High school graduate,"Yes, as a full-time student",No,Working part-time,About the same,No,5,18-24,Female,White
7538,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,10 - Completely satisfied,75+,Male,White
7539,Northeast,Now married,College's degree,No,No,Not working,No response,No,10 - Completely satisfied,65-74,Female,White
7540,South,Now married,College's degree,No,No,Working full-time,No response,No,6,55-64,Female,White
7541,South,Now married,High school graduate,No,No,Working full-time,Financial costs are much larger,No,10 - Completely satisfied,55-64,Male,White
7542,Midwest,Never married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,6,35-44,Male,Other
7543,South,Never married,High school graduate,No,No,Not working,No response,No,10 - Completely satisfied,35-44,Male,Black
7544,West,Never married,College's degree,No,No,Not working,About the same,No,3,25-34,Male,Hispanic
7545,Midwest,Never married,College's degree,No,No,Working part-time,No response,Yes,7,35-44,Female,White
7546,Midwest,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,9,65-74,Female,White
7547,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,8,55-64,Male,White
7548,South,Now married,No high school diploma,No,No,Working full-time,No response,No,8,25-34,Male,Other
7549,South,Now married,No high school diploma,No,Yes,Working part-time,No response,No response,7,55-64,Male,Hispanic
7550,West,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,7,35-44,Male,Hispanic
7551,South,Now married,High school graduate,No,No,Not working,No response,No,8,65-74,Male,White
7552,Northeast,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,6,35-44,Male,Hispanic
7553,Northeast,Never married,High school graduate,No,No,Not working,No response,No,2,25-34,Male,White
7554,West,Divorced,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,4,45-54,Female,Other
7555,Midwest,Now married,No high school diploma,No,No,Working part-time,No response,No,7,55-64,Female,White
7556,West,Divorced,High school graduate,No,No,Working full-time,No response,No,6,55-64,Female,White
7557,West,Now married,High school graduate,No,No,Not working,No response,No,3,55-64,Male,Hispanic
7558,South,Never married,College's degree,No,No,Working part-time,About the same,Yes,6,55-64,Male,White
7559,West,Now married,High school graduate,No,No,Working full-time,No response,No,6,35-44,Female,White
7560,West,Now married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,6,25-34,Male,White
7561,West,Now married,College's degree,No,No,Not working,No response,No,9,65-74,Female,Hispanic
7562,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,8,45-54,Female,White
7563,Northeast,Never married,No high school diploma,No,No,Not working,No response,No,5,18-24,Male,White
7564,West,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,8,55-64,Female,Other
7565,West,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,8,75+,Male,White
7566,South,Never married,High school graduate,No,No,Not working,Financial benefits are somewhat larger,No,1,25-34,Female,Black
7567,Midwest,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,No,3,35-44,Male,White
7568,West,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,5,65-74,Male,White
7569,West,Now married,High school graduate,No,No,Working full-time,No response,No,7,45-54,Male,Hispanic
7570,West,Separated,No high school diploma,No,No,Working part-time,No response,No,2,35-44,Male,Other
7571,Midwest,Divorced,High school graduate,No,No,Not working,No response,No,2,55-64,Male,White
7572,Northeast,Now married,High school graduate,No,No,Not working,No response,No,5,75+,Male,White
7573,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,9,55-64,Male,White
7574,Northeast,Separated,High school graduate,No,No,Working full-time,No response,No,5,45-54,Male,Hispanic
7575,West,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,8,75+,Female,White
7576,Midwest,Divorced,No high school diploma,No,No,Not working,About the same,No,5,55-64,Male,White
7577,West,Never married,No high school diploma,"Yes, as a full-time student",No,Not working,No response,No,7,18-24,Male,White
7578,Northeast,Divorced,No high school diploma,No,No,Not working,No response,No,7,65-74,Male,Hispanic
7579,West,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,8,35-44,Male,White
7580,West,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,3,55-64,Male,Other
